Emmanuel Gérard Ondo Ndong, directeur général du Feicom
Gilles Roger Belinga,  Directeur Général de la SIC
Colonel Etonde Ekotto délégué auprès de la Communauté urbaine de Douala
Me Lydienne Yen Eyoum, avocat au Barreau du Cameroun
Urbain Olanguena Awono,  ministre de la Santé publique
Jean-Marie Atangana Mebara, ministre d'État et secrétaire général de la Présidence
Marafa Hamidou Yaya, ministre de l’Administration territoriale et de la décentralisation
Yves Michel Fotso, administrateur et directeur général de la défunte Camair
Haman Adama, ministre des Enseignements secondaires
Michel Thierry Atangana, ingénieur financier en charge de certaines constructions 
Louis Bapès Bapès, Ministre des Enseignements secondaires
Polycarpe Abah Abah, ministre de l’Economie et des Finances
Alphonse Siyam Siwe, directeur général du Pad et Ministre de l’Eau et de l’Énergie
Paulin Abono Moapand, secrétaire d’État aux Travaux publics
Bouba Daïrou, sous-préfet de Bankim
Gervais Mendo Ze, DG de la CRTV
François Vilon, ancien Préfet de l’Océan
Joseph André Eyebe Eyebe, sous-préfet de Bangangté
Hubert Bessala, Sous-préfet de Kribi 1er
Ngoun, Délégué départemental de l’agriculture de l’Océan
Louis Roger Doumana, délégué régional des transports dans le Nord-Ouest
Ousmanou Issa, adjoint au chef  service de la carte grise à ladite délégation
Manboh Nathalie Nsoh, secrétaire à la délégation des transports du Nord-Ouest
George Mokum, chef service immatriculation dans la même délégation
Inoni Ephraïm Premier Ministre, Secrétaire général adjoint de la présidence 
Edou Joseph, Directeur général et Économiste
Essama Zoh Gervais Manial, Directeur Financier et Cadre de banque Ddp
Bama Michel, Chef de Caisse
BEMA Emmanuel, Directeur Général et Informaticien Ddp
Meke Raphaël Sous-Directeur Exploitation du Matériel
Koh Koh Responsable des Affaires, Cadre contractuel
Lentieu Nguemienti Ernest, Directeur de Société
Biabi Épouse Foumena Georgette, Expert Comptable
Mintanguele Alexis, Consultant
Moussio Mouelle, Expert-comptable
Belinga Gilles Roger, Ingénieur Ddp
Amougou Jules Martin, Chef Service Gestion Locative
Ateba Enobo Jeanne Marie, Chef Cellule Adjointe de la coordination 
Nama Tsimi Patrice, Chef Secteur de Maintenance 
Ossombo Bidiang Dieudonné, Caissier 
Soppo François Roger Directeur Technique 
Mvondo David Elizier, Cadre Administratif Ddp
Ndoe Essono Martial, Directeur Régional
Madawe Njike Née Ngandjeu, Chef Service Comptabilité 
Ndengue Edmond Mane, Chef Service Maintenance 
Nnanga Nnanga, Chef de Service Financier 
Okassie Amboulou, Chef Bureau Trésorerie et Budget 
Souleymanou Aladji Oumarou, Ex-chef de service de maintenance 
Leuze Dieudonné, Commissaire aux comptes 
Ayissi Tsala Chef Service Financier Adjoint Lekie Comptable Ddp Yaoundé 01/03/2006 
Etoundi Epouse Endomo Lucie, Secrétaire de direction 
Messy Claude Bernard Modeste, Commissaire Aux Comptes 
Tchombe Sylvain Marie, Comptable 
Mme Njike Née Ngandjeu Annie Chantal, Comptable 
Eyebe Lebogo Paul, Directeur de Société 
Ngoune Bebe Charles Félix, Chef service Etude-projet 
Ondo Ndong Emmanuel Gérard, Directeur Général
Bitye Bi Elanga Roseline Bertille, Chef Service Comptabilité
Mbela Moise, Agent Comptable
Dika Ndongo Martine Béatrice, Chef Bureau Recouvrement
Tchuente Nantchueng Dieudonné, Directeurs Ressources Humaines
Ndjomo Nomo Wenceslas, Agent Comptable
Ndzeng Atangana André, Chargé d'Etudes Assistant
Nguema Ondo Dieudonne, Directeur des Finances
Bessala Nsana Jean, Ex Contrôleur Financier
Ketchami Charles, Contractuel d'Administration
Ngo Bayanack Laurentine, Chef Centre
Edjang Marie Carine ,Cadre au Feicom
Ombala Née Noviaya Chargé des Relations Publiques
Mibe Célestin Jean Pierre, Commerçant Hauts Plateaux
Medjo Edmond, Cadre au Feicom
Elessa Soppo Suzanne Grâce, Cadre au Feicom
Abessolo Eyi René, Inspecteur général Valée du Ntem
Okomesse Luc Albert Vallée du Ntem, Techncien en Génie Civil
Ze Abel Ruben, Agent de Maîtrise
Ndode Gremiath Ebong, Agent de Maîtrise
